Id,SalePrice
1461,114668.53498136759
1462,155181.39954760813
1463,164778.75662030446
1464,180931.4499193024
1465,252668.1037355609
1466,176846.90064625526
1467,181875.54577125167
1468,164950.70189776484
1469,191581.97437217194
1470,112442.06158863027
1471,168182.448589027
1472,93661.24806933642
1473,85769.1828145667
1474,144084.94534045307
1475,143314.64685836242
1476,364683.2912252447
1477,304411.38424222224
1478,338386.72426681966
1479,320536.11303967045
1480,407047.837988215
1481,324598.39274349785
1482,250032.33235347518
1483,177731.32371083135
1484,165636.04656293264
1485,184144.06076467436
1486,201464.27794782716
1487,333898.20228550787
1488,273136.84339234733
1489,215497.3178197827
1490,206666.81311187855
1491,202046.80979927865
1492,103570.54841921214
1493,182991.59856401698
1494,321112.9932270057
1495,319688.30585954967
1496,203328.86831975763
1497,178915.68653631432
1498,150779.7909968382
1499,154750.99828798126
1500,133902.73344478538
1501,148282.9454750575
1502,143247.8631785096
1503,262749.3772206056
1504,251560.47048582547
1505,226207.38774934673
1506,195564.00126510533
1507,216672.57001646084
1508,178236.7256851841
1509,163340.6192370805
1510,141833.04404735123
1511,140367.86306842876
1512,167053.5587818432
1513,170796.48716172084
1514,139527.30138703968
1515,205859.03779191503
1516,160776.38115129984
1517,163857.14129019162
1518,140420.61430415683
1519,209371.2949831776
1520,122642.48636148594
1521,126655.80817331705
1522,170898.41818115945
1523,108483.24240303482
1524,126587.41103397141
1525,117310.64122384292
1526,103717.59780722679
1527,110120.81484758353
1528,147131.6285859802
1529,142970.9752878644
1530,183231.865464369
1531,102640.200815018
1532,87002.54567432357
1533,147506.54705957026
1534,126407.79725942593
1535,137706.51413516994
1536,98371.78352647237
1537,55114.63672877069
1538,180525.33380958036
1539,216859.9522378717
1540,116859.54041426381
1541,134645.74384032443
1542,145898.89330851604
1543,195844.8091422711
1544,96331.7593129154
1545,133172.97791581808
1546,139530.57448076108
1547,132463.72839926623
1548,153691.18623062066
1549,123002.51969941412
1550,136971.95544480064
1551,107706.50941968439
1552,128603.70372707876
1553,121909.3866923878
1554,121993.06154927233
1555,183139.26302407327
1556,113647.44419857956
1557,90651.35255731845
1558,97987.50484331031
1559,69657.60887726213
1560,143164.28865678335
1561,113950.96093123207
1562,127241.54303141455
1563,108342.27561795065
1564,132881.8551503114
1565,136345.96737858088
1566,242637.70729872512
1567,80752.07522547187
1568,221132.2898965008
1569,104599.81037917173
1570,135700.90990263532
1571,118638.90740407327
1572,134811.77738471582
1573,207602.98230815746
1574,124349.99477340557
1575,201481.58568293176
1576,223054.7881412187
1577,196712.28415423818
1578,154225.52833524128
1579,141134.1430688826
1580,205044.54554726754
1581,152705.3447697455
1582,133652.38988542047
1583,277306.8066251621
1584,224479.81642114057
1585,123557.59808392554
1586,67838.96753514116
1587,104462.96955796318
1588,130770.12264844394
1589,101438.50659427283
1590,135402.98626827428
1591,85200.60283184337
1592,119056.07068372786
1593,124090.54743233044
1594,152403.42511983012
1595,91272.89389545181
1596,235471.58322322476
1597,202579.5134238121
1598,235149.92152763848
1599,192447.9442756335
1600,195932.3287810121
1601,61740.65009577112
1602,100411.62526105493
1603,84299.3572239986
1604,246290.5635845344
1605,251523.74588398007
1606,174693.2807374323
1607,190651.7329732754
1608,226398.83682793766
1609,211737.0161966936
1610,168251.46440723934
1611,147006.04107087632
1612,175492.3205318433
